Step,Value
0,0.6989647746086121
2,0.6618046164512634
3,0.6557524800300598
5,0.794764518737793
7,0.6508576273918152
8,0.64404296875
9,0.7227327823638916
10,0.6317363381385803
11,0.6724452972412109
12,0.6512652635574341
13,0.5392467379570007
14,0.5835666656494141
15,0.5507857799530029
16,0.5868345499038696
17,0.5256814360618591
19,0.5291422605514526
20,0.7113874554634094
21,0.5912393927574158
22,0.6524086594581604
23,0.6188836693763733
24,0.6236740946769714
26,0.5936607718467712
27,0.6445059180259705
28,0.6119574904441833
29,0.5061208605766296
30,0.6475739479064941
31,0.7137675881385803
32,0.5878718495368958
33,0.6125967502593994
35,0.5436918139457703
36,0.5785245299339294
37,0.5652039647102356
38,0.5689670443534851
39,0.5501146912574768
40,0.5823991894721985
42,0.6777662634849548
43,0.5249952077865601
44,0.6643221378326416
45,0.5535804629325867
46,0.5121012926101685
47,0.5695437788963318
48,0.5623341202735901
49,0.7275527119636536
50,0.6340712904930115
51,0.5711725354194641
52,0.6541686654090881
53,0.6011073589324951
54,0.5568681955337524
55,0.5426350235939026
56,0.6146444082260132
59,0.652479350566864
60,0.5826972126960754
61,0.5155222415924072
62,0.5872423052787781
63,0.6335042715072632
64,0.519386887550354
65,0.564836323261261
66,0.6094041466712952
67,0.5521005988121033
68,0.5750060081481934
69,0.627433717250824
70,0.5373080968856812
71,0.6616235971450806
72,0.6069092154502869
73,0.6398889422416687
74,0.5506927967071533
75,0.5339964628219604
76,0.6588714718818665
77,0.6105814576148987
78,0.6050201654434204
79,0.5227468609809875
80,0.5094520449638367
81,0.5018550753593445
82,0.5223015546798706
83,0.5039098262786865
84,0.6009502410888672
85,0.6456948518753052
86,0.5556243062019348
87,0.6781075596809387
88,0.527559220790863
89,0.7191470265388489
90,0.5390777587890625
91,0.622535765171051
92,0.5698685050010681
93,0.6300796866416931
94,0.517532229423523
95,0.6181756854057312
96,0.5821283459663391
97,0.6211124062538147
98,0.5639798641204834
99,0.5803464651107788
100,0.5442332625389099
101,0.48704132437705994
102,0.6525861620903015
103,0.6273851990699768
104,0.5200755000114441
105,0.5533933639526367
106,0.6716155409812927
107,0.5367293357849121
108,0.6190323829650879
109,0.603920042514801
110,0.5904467105865479
111,0.5166906118392944
112,0.5566994547843933
113,0.5112217664718628
114,0.5527341365814209
115,0.5433796644210815
116,0.6305632591247559
117,0.5670948624610901
118,0.5994212627410889
119,0.5356183052062988
120,0.6225741505622864
121,0.48967763781547546
122,0.47105345129966736
123,0.6542132496833801
125,0.6028661727905273
126,0.5189949870109558
127,0.6785163879394531
128,0.6378210186958313
129,0.48212185502052307
130,0.47363439202308655
131,0.5660530924797058
