Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.2042,0.9334,0.393,0.8723
fold10,0.2092,0.9344,0.2482,0.9007
fold2,0.2046,0.9381,0.307,0.8613
fold3,0.2039,0.9371,0.3337,0.8509
fold4,0.2124,0.9366,0.2079,0.946
fold5,0.2047,0.9347,0.4572,0.7645
fold6,0.211,0.9328,0.3098,0.8816
fold7,0.2029,0.9369,0.361,0.8667
fold8,0.2079,0.9336,0.3713,0.8365
fold9,0.2002,0.9396,0.3356,0.8479
