Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.4375,0.8724,0.4302,0.8801
fold10,0.4614,0.849,0.5002,0.8081
fold2,0.6056,0.7076,0.6568,0.6562
fold3,0.466,0.8433,0.4712,0.8453
fold4,0.4511,0.8586,0.5306,0.7774
fold5,0.4265,0.8837,0.5132,0.796
fold6,0.4599,0.8502,0.4372,0.8733
fold7,0.4608,0.8503,0.5131,0.7983
fold8,0.6088,0.7045,0.6358,0.6774
fold9,0.53,0.7803,0.52,0.7917
