Step,Value
0,0.4479166865348816
1,0.5625
4,0.75
6,0.75
8,0.800000011920929
9,0.8125
11,0.75
12,0.625
13,0.65625
14,0.5625
15,0.6875
16,0.71875
17,0.800000011920929
18,0.53125
19,0.8125
20,0.71875
21,0.6875
23,0.65625
24,0.75
25,0.6875
26,0.6800000071525574
29,0.75
31,0.5625
32,0.71875
34,0.71875
36,0.6875
37,0.65625
38,0.6875
39,0.8125
43,0.75
44,0.7200000286102295
46,0.59375
47,0.75
48,0.8125
49,0.6875
50,0.5625
51,0.65625
52,0.78125
53,0.8799999952316284
54,0.6875
56,0.6875
57,0.6875
59,0.75
61,0.78125
62,0.6000000238418579
63,0.65625
64,0.59375
65,0.71875
66,0.6875
67,0.6875
68,0.5625
69,0.84375
70,0.71875
73,0.65625
74,0.6875
75,0.625
77,0.625
79,0.65625
80,0.6800000071525574
81,0.59375
84,0.78125
85,0.59375
87,0.6875
88,0.78125
91,0.71875
92,0.75
94,0.8125
95,0.71875
96,0.625
98,0.6800000071525574
99,0.6875
101,0.90625
102,0.71875
104,0.5625
105,0.65625
106,0.71875
107,0.6800000071525574
109,0.78125
110,0.6875
111,0.65625
112,0.625
113,0.65625
114,0.6875
115,0.75
117,0.65625
120,0.625
121,0.8125
122,0.625
124,0.625
125,0.7599999904632568
126,0.78125
128,0.6875
129,0.65625
131,0.59375
132,0.75
133,0.6875
134,0.6800000071525574
135,0.78125
137,0.65625
139,0.6875
141,0.59375
143,0.6800000071525574
144,0.78125
145,0.78125
146,0.78125
149,0.625
151,0.71875
153,0.75
154,0.71875
156,0.78125
158,0.65625
159,0.65625
161,0.7599999904632568
162,0.75
164,0.75
167,0.6875
168,0.78125
170,0.800000011920929
171,0.84375
173,0.625
174,0.65625
175,0.78125
178,0.59375
179,0.7200000286102295
182,0.71875
183,0.65625
184,0.75
186,0.71875
187,0.625
188,0.7200000286102295
190,0.625
191,0.71875
193,0.6875
194,0.625
195,0.84375
196,0.71875
198,0.59375
199,0.8125
200,0.75
201,0.8125
202,0.5625
203,0.78125
206,0.7200000286102295
209,0.78125
210,0.75
211,0.71875
212,0.71875
213,0.5625
216,0.6875
217,0.59375
218,0.75
220,0.6875
222,0.6875
223,0.71875
224,0.7599999904632568
225,0.6875
226,0.71875
227,0.71875
229,0.65625
231,0.71875
232,0.75
233,0.6399999856948853
234,0.71875
235,0.59375
238,0.8125
239,0.625
240,0.625
241,0.78125
242,0.8400000333786011
243,0.65625
244,0.75
245,0.71875
246,0.65625
247,0.71875
249,0.84375
250,0.625
251,0.6000000238418579
252,0.71875
253,0.6875
256,0.84375
257,0.71875
260,0.6000000238418579
261,0.75
264,0.6875
266,0.6875
267,0.6875
269,0.800000011920929
271,0.59375
272,0.78125
273,0.65625
274,0.59375
275,0.6875
276,0.75
277,0.78125
279,0.75
280,0.59375
281,0.78125
282,0.75
283,0.625
285,0.78125
286,0.625
287,0.6800000071525574
288,0.59375
291,0.65625
292,0.6875
293,0.71875
294,0.59375
295,0.6875
296,0.800000011920929
301,0.6875
302,0.71875
304,0.8125
