Step,Value
0,0.34375
1,0.3541666865348816
2,0.8125
4,0.78125
6,0.71875
7,0.5625
8,0.5600000023841858
9,0.78125
11,0.53125
12,0.6875
13,0.59375
14,0.65625
15,0.84375
16,0.84375
17,0.7599999904632568
18,0.6875
19,0.5
20,0.8125
21,0.71875
22,0.5625
23,0.8125
24,0.6875
25,0.8125
26,0.7200000286102295
27,0.71875
28,0.6875
29,0.8125
30,0.78125
31,0.75
32,0.625
34,0.75
35,0.6800000071525574
36,0.71875
37,0.6875
38,0.65625
39,0.71875
41,0.78125
43,0.59375
44,0.6399999856948853
45,0.5625
46,0.6875
47,0.6875
48,0.875
49,0.75
50,0.71875
51,0.6875
52,0.625
53,0.7200000286102295
54,0.625
55,0.78125
56,0.75
57,0.65625
59,0.84375
60,0.53125
61,0.71875
62,0.7200000286102295
63,0.65625
64,0.78125
65,0.59375
66,0.78125
67,0.625
68,0.6875
69,0.75
70,0.78125
71,0.6399999856948853
72,0.59375
73,0.65625
74,0.71875
75,0.71875
77,0.75
78,0.8125
79,0.71875
80,0.7200000286102295
81,0.6875
82,0.84375
84,0.71875
85,0.65625
86,0.6875
87,0.53125
88,0.65625
89,0.6800000071525574
90,0.71875
91,0.71875
92,0.59375
93,0.65625
94,0.65625
95,0.71875
96,0.65625
97,0.84375
98,0.7599999904632568
99,0.71875
100,0.65625
101,0.625
102,0.625
104,0.78125
105,0.75
106,0.71875
107,0.800000011920929
108,0.65625
109,0.71875
110,0.71875
111,0.65625
112,0.6875
113,0.6770833730697632
114,0.7604166865348816
115,0.5833333730697632
116,0.7599999904632568
117,0.84375
120,0.6875
121,0.6770833730697632
122,0.6875
124,0.7604166865348816
125,0.6133333444595337
126,0.6041666865348816
127,0.6875
128,0.7083333730697632
129,0.7291666865348816
130,0.7916666865348816
131,0.8333333730697632
132,0.7916666865348816
133,0.8229166865348816
134,0.6133333444595337
135,0.75
136,0.5625
137,0.8333333730697632
139,0.6770833730697632
141,0.75
142,0.6354166865348816
143,0.7733333706855774
144,0.8229166865348816
145,0.8020833730697632
146,0.84375
149,0.7708333730697632
151,0.71875
152,0.6800000071525574
153,0.7291666865348816
