Step,Value
0,0.6041666865348816
2,0.6875
3,0.75
4,0.71875
6,0.78125
7,0.59375
8,0.6399999856948853
9,0.65625
11,0.625
12,0.75
13,0.6875
14,0.875
15,0.75
17,0.6800000071525574
18,0.65625
20,0.75
21,0.84375
22,0.6875
23,0.625
24,0.84375
25,0.59375
26,0.5600000023841858
28,0.625
31,0.71875
32,0.90625
33,0.625
35,0.6800000071525574
36,0.6875
39,0.6875
41,0.59375
42,0.78125
45,0.71875
47,0.75
49,0.625
50,0.75
54,0.625
56,0.75
58,0.6875
60,0.6875
61,0.875
62,0.6000000238418579
63,0.71875
64,0.65625
66,0.59375
67,0.625
68,0.6875
69,0.84375
70,0.75
71,0.800000011920929
72,0.84375
73,0.625
74,0.75
75,0.6875
76,0.71875
77,0.65625
79,0.65625
80,0.800000011920929
83,0.6875
84,0.5625
85,0.6875
86,0.625
87,0.78125
88,0.875
89,0.7599999904632568
90,0.8125
91,0.84375
92,0.71875
93,0.6875
94,0.65625
95,0.59375
96,0.71875
97,0.59375
100,0.75
101,0.65625
103,0.75
104,0.71875
105,0.65625
106,0.71875
107,0.6800000071525574
108,0.65625
109,0.59375
111,0.84375
112,0.625
113,0.75
114,0.6875
115,0.71875
116,0.8400000333786011
118,0.75
119,0.65625
120,0.5625
121,0.65625
122,0.8125
123,0.78125
124,0.75
125,0.6800000071525574
126,0.6875
127,0.75
128,0.59375
129,0.71875
130,0.625
132,0.6875
137,0.65625
139,0.75
142,0.75
145,0.6875
146,0.625
147,0.71875
148,0.625
149,0.8125
150,0.75
151,0.59375
152,0.8400000333786011
153,0.8125
154,0.78125
156,0.46875
157,0.65625
158,0.625
159,0.71875
162,0.65625
166,0.6875
167,0.65625
168,0.75
172,0.5
173,0.78125
174,0.75
175,0.71875
176,0.65625
178,0.875
179,0.6399999856948853
180,0.71875
182,0.71875
183,0.6875
185,0.78125
187,0.5625
189,0.6875
190,0.8125
191,0.5
192,0.78125
193,0.65625
194,0.65625
195,0.78125
196,0.75
197,0.7200000286102295
198,0.8125
199,0.71875
200,0.59375
202,0.59375
204,0.84375
205,0.6875
206,0.800000011920929
207,0.59375
208,0.625
209,0.8125
211,0.6875
212,0.71875
216,0.53125
217,0.65625
219,0.71875
220,0.6875
221,0.875
222,0.9375
223,0.6875
224,0.6000000238418579
225,0.625
226,0.53125
227,0.71875
228,0.625
229,0.71875
230,0.6875
232,0.78125
233,0.800000011920929
234,0.65625
235,0.59375
236,0.78125
238,0.78125
239,0.625
240,0.71875
241,0.625
242,0.800000011920929
243,0.78125
246,0.75
247,0.71875
248,0.6875
249,0.75
250,0.65625
251,0.800000011920929
252,0.78125
253,0.75
254,0.71875
255,0.65625
256,0.65625
257,0.71875
260,0.6800000071525574
261,0.71875
264,0.84375
267,0.8125
271,0.6875
272,0.5625
275,0.8125
276,0.65625
278,0.6399999856948853
280,0.75
282,0.6875
283,0.75
285,0.71875
286,0.625
287,0.8400000333786011
288,0.78125
289,0.625
290,0.875
293,0.6875
295,0.6875
296,0.6800000071525574
297,0.78125
299,0.625
300,0.75
301,0.6875
302,0.65625
303,0.78125
304,0.65625
306,0.625
307,0.84375
308,0.75
310,0.71875
311,0.71875
312,0.71875
314,0.6000000238418579
318,0.78125
319,0.6875
320,0.6875
321,0.59375
322,0.625
323,0.7599999904632568
324,0.625
325,0.71875
327,0.6875
329,0.84375
330,0.6875
331,0.71875
332,0.6000000238418579
333,0.78125
334,0.65625
335,0.71875
336,0.6875
338,0.6875
339,0.8125
343,0.71875
344,0.75
345,0.8125
346,0.71875
347,0.8125
348,0.75
349,0.53125
351,0.6875
352,0.78125
353,0.625
354,0.71875
355,0.71875
359,0.6000000238418579
360,0.6875
361,0.5625
362,0.75
363,0.71875
364,0.75
365,0.6875
367,0.71875
368,0.7200000286102295
369,0.65625
370,0.65625
371,0.8125
374,0.625
376,0.75
377,0.800000011920929
380,0.84375
381,0.71875
382,0.59375
383,0.625
385,0.6875
386,0.7599999904632568
388,0.6875
389,0.71875
392,0.65625
393,0.78125
394,0.71875
395,0.7200000286102295
397,0.65625
398,0.75
399,0.71875
401,0.625
402,0.8125
403,0.78125
404,0.800000011920929
