Step,Value
0,0.4791666865348816
2,0.78125
3,0.8125
5,0.65625
7,0.625
8,0.6800000071525574
9,0.6875
10,0.65625
11,0.6875
12,0.75
13,0.75
14,0.59375
15,0.84375
16,0.65625
17,0.6000000238418579
19,0.75
20,0.53125
21,0.625
22,0.625
23,0.8125
24,0.75
26,0.6399999856948853
27,0.65625
28,0.71875
29,0.6875
30,0.6875
31,0.65625
32,0.6875
33,0.75
35,0.7200000286102295
36,0.71875
37,0.625
38,0.6875
39,0.8125
40,0.6875
42,0.6875
43,0.75
44,0.7599999904632568
45,0.65625
46,0.6875
47,0.875
48,0.6875
49,0.71875
50,0.71875
51,0.59375
52,0.625
53,0.6800000071525574
54,0.65625
55,0.625
56,0.65625
59,0.65625
60,0.78125
61,0.84375
62,0.6399999856948853
63,0.84375
64,0.5625
65,0.71875
66,0.625
67,0.65625
68,0.8125
69,0.65625
70,0.71875
71,0.6399999856948853
72,0.78125
73,0.71875
74,0.6875
75,0.65625
76,0.65625
77,0.8125
78,0.59375
79,0.75
80,0.5600000023841858
81,0.6875
82,0.59375
83,0.6041666865348816
84,0.6979166865348816
85,0.6979166865348816
86,0.7708333730697632
87,0.6770833730697632
88,0.71875
89,0.7333333492279053
90,0.75
91,0.625
92,0.6875
93,0.71875
94,0.53125
95,0.78125
96,0.625
97,0.7395833730697632
98,0.8133333325386047
99,0.65625
100,0.75
101,0.8541666865348816
102,0.6666666865348816
103,0.8020833730697632
104,0.625
105,0.7604166865348816
106,0.6041666865348816
107,0.7866666913032532
108,0.59375
109,0.78125
110,0.7604166865348816
111,0.7916666865348816
112,0.6354166865348816
113,0.6979166865348816
114,0.8229166865348816
115,0.78125
116,0.7200000286102295
117,0.5729166865348816
118,0.6979166865348816
119,0.7708333730697632
120,0.75
121,0.78125
122,0.8020833730697632
123,0.8125
125,0.6533333659172058
126,0.7291666865348816
127,0.6875
128,0.6770833730697632
129,0.8020833730697632
130,0.6979166865348816
131,0.7395833730697632
132,0.7291666865348816
134,0.8266667127609253
135,0.8020833730697632
136,0.6770833730697632
138,0.65625
139,0.7708333730697632
140,0.6041666865348816
141,0.6770833730697632
142,0.8854166865348816
143,0.7733333706855774
144,0.78125
145,0.8333333730697632
146,0.7708333730697632
148,0.7604166865348816
149,0.65625
151,0.8541666865348816
152,0.7733333706855774
153,0.7604166865348816
154,0.7604166865348816
155,0.7604166865348816
156,0.75
157,0.65625
158,0.6354166865348816
159,0.7395833730697632
160,0.7083333730697632
161,0.8533333539962769
162,0.7083333730697632
163,0.7083333730697632
164,0.71875
165,0.8333333730697632
167,0.7291666865348816
168,0.8229166865348816
169,0.7291666865348816
170,0.6800000071525574
171,0.78125
173,0.6458333730697632
174,0.7708333730697632
175,0.8541666865348816
176,0.625
177,0.7604166865348816
178,0.8229166865348816
179,0.7866666913032532
180,0.8020833730697632
181,0.7916666865348816
182,0.7604166865348816
183,0.75
184,0.7604166865348816
185,0.75
186,0.7395833730697632
187,0.7395833730697632
188,0.7866666913032532
189,0.7395833730697632
190,0.7916666865348816
191,0.7291666865348816
192,0.8958333730697632
193,0.65625
194,0.625
195,0.7604166865348816
196,0.8333333730697632
197,0.8266667127609253
198,0.6770833730697632
199,0.75
200,0.8229166865348816
201,0.7604166865348816
202,0.6666666865348816
203,0.7604166865348816
205,0.75
206,0.6933333277702332
207,0.9479166865348816
208,0.875
209,0.6875
210,0.8541666865348816
211,0.6979166865348816
212,0.7708333730697632
213,0.6145833730697632
214,0.9270833730697632
215,0.5333333611488342
216,0.71875
218,0.7604166865348816
219,0.7395833730697632
220,0.6666666865348816
221,0.75
222,0.75
223,0.84375
224,0.7866666913032532
225,0.6770833730697632
226,0.75
227,0.75
228,0.6041666865348816
229,0.9479166865348816
231,0.84375
232,0.71875
233,0.6933333277702332
234,0.6979166865348816
235,0.78125
236,0.75
