Step,Value
0,0.21875
1,0.65625
2,0.75
4,0.5625
6,0.6875
7,0.84375
8,0.7599999904632568
9,0.71875
11,0.6875
12,0.71875
13,0.6875
14,0.71875
15,0.75
16,0.5625
17,0.7599999904632568
18,0.6875
19,0.71875
20,0.65625
21,0.6875
22,0.84375
23,0.6875
24,0.6875
25,0.53125
26,0.800000011920929
27,0.4375
28,0.75
29,0.65625
30,0.625
31,0.75
32,0.6875
34,0.71875
35,0.8400000333786011
36,0.65625
37,0.65625
38,0.5625
39,0.6875
41,0.71875
43,0.71875
44,0.800000011920929
45,0.53125
46,0.65625
47,0.75
48,0.78125
49,0.65625
50,0.78125
51,0.65625
52,0.71875
53,0.7599999904632568
54,0.78125
55,0.6875
56,0.6875
57,0.6875
59,0.5625
60,0.65625
61,0.6875
62,0.8400000333786011
63,0.90625
64,0.6875
65,0.625
66,0.65625
67,0.78125
68,0.71875
69,0.6875
70,0.59375
71,0.6000000238418579
72,0.75
73,0.59375
74,0.5625
75,0.75
77,0.875
78,0.59375
79,0.625
80,0.8400000333786011
81,0.65625
82,0.71875
84,0.75
85,0.625
86,0.75
87,0.625
88,0.5625
89,0.8799999952316284
90,0.78125
91,0.75
92,0.5625
93,0.75
94,0.625
95,0.59375
96,0.78125
97,0.75
98,0.6800000071525574
99,0.71875
100,0.65625
101,0.8125
102,0.6875
104,0.65625
105,0.625
106,0.75
107,0.6000000238418579
108,0.65625
109,0.6875
110,0.65625
111,0.6875
112,0.78125
113,0.75
114,0.71875
115,0.75
116,0.5600000023841858
117,0.78125
120,0.78125
121,0.75
122,0.5625
124,0.59375
125,0.7599999904632568
126,0.8125
127,0.78125
128,0.59375
129,0.78125
130,0.6875
131,0.71875
132,0.5625
133,0.6875
134,0.6666666865348816
135,0.6666666865348816
136,0.78125
137,0.6875
139,0.6666666865348816
141,0.6875
142,0.65625
143,0.6399999856948853
144,0.59375
145,0.71875
146,0.71875
149,0.6666666865348816
151,0.7395833730697632
152,0.7066667079925537
153,0.71875
154,0.625
155,0.59375
156,0.8020833730697632
157,0.6979166865348816
158,0.5
159,0.7083333730697632
160,0.7291666865348816
161,0.8133333325386047
162,0.8645833730697632
163,0.6979166865348816
164,0.8333333730697632
166,0.6458333730697632
167,0.7291666865348816
168,0.6041666865348816
169,0.6041666865348816
170,0.5866667032241821
171,0.7395833730697632
172,0.6875
173,0.6875
174,0.6666666865348816
175,0.7916666865348816
176,0.8125
178,0.6979166865348816
179,0.7066667079925537
181,0.7083333730697632
182,0.6770833730697632
183,0.8020833730697632
184,0.7604166865348816
185,0.78125
186,0.59375
187,0.71875
188,0.7866666913032532
190,0.78125
191,0.7291666865348816
192,0.8541666865348816
193,0.7604166865348816
194,0.6354166865348816
195,0.6145833730697632
196,0.6354166865348816
197,0.746666669845581
198,0.7916666865348816
199,0.6145833730697632
200,0.7604166865348816
201,0.8541666865348816
202,0.7395833730697632
203,0.8229166865348816
205,0.7083333730697632
206,0.6266666650772095
207,0.6770833730697632
208,0.6770833730697632
209,0.7083333730697632
210,0.7916666865348816
211,0.65625
212,0.6770833730697632
213,0.625
214,0.75
215,0.6933333277702332
216,0.6458333730697632
217,0.6875
218,0.65625
220,0.7708333730697632
221,0.7291666865348816
222,0.7916666865348816
223,0.7395833730697632
224,0.746666669845581
225,0.53125
226,0.7604166865348816
227,0.71875
228,0.75
229,0.71875
230,0.7604166865348816
231,0.8229166865348816
232,0.65625
233,0.7066667079925537
234,0.5520833730697632
235,0.7291666865348816
236,0.8020833730697632
237,0.6875
238,0.7916666865348816
239,0.8541666865348816
240,0.7708333730697632
241,0.5833333730697632
242,0.7733333706855774
243,0.7604166865348816
244,0.7708333730697632
245,0.6458333730697632
246,0.7708333730697632
247,0.6770833730697632
248,0.7291666865348816
249,0.78125
250,0.8020833730697632
251,0.800000011920929
252,0.7083333730697632
253,0.7291666865348816
255,0.6979166865348816
256,0.8229166865348816
257,0.71875
258,0.8125
259,0.78125
260,0.800000011920929
261,0.7604166865348816
262,0.6458333730697632
263,0.7604166865348816
264,0.84375
265,0.6979166865348816
266,0.6979166865348816
267,0.7604166865348816
269,0.6800000071525574
270,0.7604166865348816
271,0.75
272,0.8125
273,0.6354166865348816
274,0.7291666865348816
275,0.71875
276,0.8125
277,0.8125
279,0.8125
280,0.8020833730697632
281,0.6666666865348816
282,0.59375
283,0.7604166865348816
285,0.71875
286,0.7395833730697632
287,0.746666669845581
288,0.7083333730697632
290,0.8541666865348816
291,0.6875
292,0.7083333730697632
293,0.8229166865348816
294,0.7395833730697632
295,0.71875
296,0.7866666913032532
297,0.8125
298,0.8125
299,0.6770833730697632
300,0.75
301,0.8229166865348816
302,0.75
303,0.78125
304,0.6770833730697632
305,0.7333333492279053
306,0.78125
308,0.8645833730697632
309,0.78125
310,0.8125
311,0.625
312,0.7916666865348816
313,0.6770833730697632
314,0.7066667079925537
315,0.9270833730697632
316,0.78125
317,0.7916666865348816
318,0.8229166865348816
319,0.5625
320,0.8125
321,0.78125
322,0.6979166865348816
323,0.6933333277702332
324,0.8020833730697632
325,0.7395833730697632
326,0.8541666865348816
327,0.7916666865348816
328,0.7604166865348816
329,0.78125
330,0.7916666865348816
331,0.7291666865348816
332,0.8133333325386047
333,0.7395833730697632
334,0.7604166865348816
335,0.9166666865348816
336,0.65625
337,0.7708333730697632
338,0.6458333730697632
339,0.8229166865348816
340,0.7708333730697632
341,0.8133333325386047
342,0.7291666865348816
343,0.65625
344,0.7708333730697632
345,0.9270833730697632
346,0.75
347,0.7291666865348816
348,0.84375
349,0.78125
350,0.7200000286102295
351,0.5833333730697632
352,0.6875
353,0.71875
354,0.75
355,0.7708333730697632
356,0.7604166865348816
357,0.6979166865348816
358,0.7916666865348816
359,0.8533333539962769
360,0.8645833730697632
361,0.875
362,0.8229166865348816
363,0.71875
364,0.6770833730697632
365,0.6875
366,0.8645833730697632
367,0.7083333730697632
368,0.8266667127609253
369,0.7395833730697632
370,0.8854166865348816
371,0.7916666865348816
372,0.6979166865348816
373,0.7291666865348816
374,0.71875
375,0.8333333730697632
376,0.8645833730697632
377,0.7733333706855774
378,0.8333333730697632
379,0.7604166865348816
380,0.7291666865348816
381,0.78125
382,0.7708333730697632
