Step,Value
1,0.5625
4,0.65625
22,0.71875
33,0.84375
45,0.5625
51,0.65625
59,0.78125
73,0.8125
79,0.6875
84,0.7604166865348816
89,0.7200000286102295
95,0.75
108,0.6979166865348816
125,0.7333333492279053
128,0.7604166865348816
137,0.8020833730697632
144,0.625
156,0.7708333730697632
162,0.71875
167,0.8125
178,0.6354166865348816
182,0.90625
207,0.7916666865348816
210,0.8229166865348816
217,0.7604166865348816
228,0.75
239,0.71875
257,0.90625
258,0.6770833730697632
269,0.746666669845581
287,0.7599999904632568
297,0.8229166865348816
301,0.8645833730697632
309,0.8541666865348816
331,0.8333333730697632
341,0.8266667127609253
344,0.7604166865348816
350,0.800000011920929
362,0.8645833730697632
381,0.84375
405,0.7916666865348816
409,0.7604166865348816
411,0.8229166865348816
430,0.84375
431,0.8266667127609253
438,0.8229166865348816
444,0.9479166865348816
450,0.8854166865348816
451,0.90625
461,0.8333333730697632
470,0.7916666865348816
471,0.84375
474,0.9479166865348816
475,0.625
495,0.8854166865348816
505,0.90625
508,0.8541666865348816
515,0.75
526,0.9270833730697632
546,0.9375
585,0.8854166865348816
587,0.84375
593,0.7599999904632568
594,0.8125
597,0.8333333730697632
601,0.9479166865348816
602,0.893333375453949
606,0.9375
615,0.75
617,0.8854166865348816
621,0.8229166865348816
623,0.9583333730697632
632,0.9375
642,0.8541666865348816
645,0.9583333730697632
653,0.8854166865348816
658,0.78125
667,0.9166666865348816
674,0.9333333373069763
684,0.8645833730697632
692,0.9466667175292969
712,0.875
731,0.96875
734,0.875
749,0.8229166865348816
754,0.9166666865348816
761,0.875
763,0.8958333730697632
767,0.9166666865348816
776,0.9375
785,0.875
793,0.9270833730697632
799,0.875
809,0.7866666913032532
833,0.9375
838,0.8020833730697632
839,0.875
847,0.78125
850,0.8958333730697632
870,0.8333333730697632
878,0.8125
895,0.8854166865348816
900,0.8333333730697632
903,0.90625
932,0.7916666865348816
946,0.8541666865348816
957,0.9479166865348816
958,0.84375
977,0.8958333730697632
982,0.9270833730697632
985,0.9270833730697632
987,0.9270833730697632
1002,0.9166666865348816
1019,0.8125
1021,0.8958333730697632
1031,0.90625
1036,0.90625
1050,0.9479166865348816
1056,0.90625
1067,0.9375
1077,0.6875
1081,0.9479166865348816
1108,0.9166666865348816
1118,0.9270833730697632
1125,0.84375
1132,0.8958333730697632
1133,0.8400000333786011
1137,0.9791666865348816
1138,0.90625
1139,0.9166666865348816
1142,0.9600000381469727
1148,0.9270833730697632
1150,0.9479166865348816
1159,0.9375
1165,0.90625
1190,0.96875
1200,0.9270833730697632
1201,0.84375
1210,0.9270833730697632
1218,0.8958333730697632
1219,0.8645833730697632
1232,0.9600000381469727
1239,0.9166666865348816
1253,0.9166666865348816
1259,0.8666666746139526
1266,0.90625
1267,0.9375
1277,0.8666666746139526
1283,0.9583333730697632
1293,0.9166666865348816
1296,0.8541666865348816
1308,0.96875
1335,0.9166666865348816
