Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.6249,0.6668,0.5988,0.7406
fold10,0.5981,0.7148,0.7627,0.4871
fold2,0.6169,0.6922,0.6041,0.7125
fold3,0.6216,0.6596,0.6099,0.7409
fold4,0.6286,0.6541,0.5617,0.8032
fold5,0.6169,0.6889,0.5947,0.7097
fold6,0.6098,0.6837,0.6657,0.6419
fold7,0.6118,0.6922,0.6231,0.7075
fold8,0.6117,0.6951,0.6063,0.7097
fold9,0.6099,0.693,0.6218,0.7355
