Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.2301,0.9041,0.1907,0.9382
fold10,0.2236,0.9087,0.4668,0.8492
fold2,0.2204,0.9095,0.4355,0.8009
fold3,0.2196,0.9101,0.3613,0.8348
fold4,0.2196,0.9112,0.425,0.8392
fold5,0.2126,0.9158,0.4395,0.8506
fold6,0.2244,0.9069,0.3064,0.8615
fold7,0.2084,0.9144,0.5062,0.7769
fold8,0.2048,0.9181,0.6341,0.7733
fold9,0.2202,0.9101,0.3934,0.8623
