Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.179,0.9365,0.4842,0.8459
fold10,0.1879,0.9281,0.2819,0.8598
fold2,0.1843,0.9309,0.4935,0.8767
fold3,0.1801,0.9327,0.4598,0.8011
fold4,0.1785,0.9358,0.2663,0.8789
fold5,0.178,0.9339,0.4109,0.8641
fold6,0.1712,0.938,0.5042,0.7801
fold7,0.1747,0.9359,0.433,0.806
fold8,0.1938,0.9254,0.2233,0.9221
fold9,0.1744,0.9354,0.3572,0.822
