Fold,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
fold1,0.1977,0.9178,0.3136,0.8736
fold10,0.1914,0.9228,0.5753,0.8013
fold2,0.1961,0.9207,0.3839,0.8274
fold3,0.1843,0.9273,0.4982,0.7872
fold4,0.1939,0.9238,0.23,0.8952
fold5,0.2057,0.9166,0.3184,0.8849
fold6,0.1979,0.9207,0.271,0.8947
fold7,0.1983,0.919,0.415,0.8657
fold8,0.197,0.9196,0.4803,0.8001
fold9,0.1858,0.9252,0.6129,0.8098
